City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Khudumelapye,BW,2021-11-22 17:19:37,-23.8833,24.75,70.09,70,80,15.55
273,Niefern-Oschelbronn,DE,2021-11-22 17:15:57,48.9167,8.7833,44.69,68,100,10.49
274,Three Hills,CA,2021-11-22 17:15:02,51.7001,-113.2686,30.61,60,100,7.87
275,Aklavik,CA,2021-11-22 17:19:38,68.2191,-135.0107,-10.37,84,75,5.75
276,Taber,CA,2021-11-22 17:19:38,49.8167,-112.1518,51.82,29,82,21.85
277,Bequimao,BR,2021-11-22 17:20:39,-2.4489,-44.7825,89.92,41,94,7.61
278,Nhulunbuy,AU,2021-11-22 17:20:39,-12.2333,136.7667,81.21,83,4,4.61
279,Kasongo-Lunda,CD,2021-11-22 17:20:39,-6.4667,16.8167,70.72,98,99,4.16
280,Pierre,US,2021-11-22 17:20:40,44.3683,-100.351,40.28,56,1,1.01
281,Meulaboh,ID,2021-11-22 17:20:40,4.1363,96.1285,76.73,89,100,3.65
282,Syracuse,IT,2021-11-22 17:20:40,37.0881,15.2792,63.99,73,73,8.63
283,Pedasi,PA,2021-11-22 17:20:41,7.5333,-80.0333,86.07,76,99,6.67
284,Dauphin,CA,2021-11-22 17:20:41,51.1494,-100.0502,17.74,73,90,0.0
285,Rosario Do Sul,BR,2021-11-22 17:18:44,-30.2583,-54.9142,93.47,28,0,9.62
286,Amapa,BR,2021-11-22 17:20:42,1.0,-52.0,92.8,41,82,4.47
287,Ada,US,2021-11-22 17:20:42,43.4166,-116.1262,37.06,75,1,1.99
288,Svetlaya,RU,2021-11-22 17:20:42,46.5389,138.3297,33.82,74,78,23.13
289,Chifeng,CN,2021-11-22 17:16:41,42.2683,118.9636,17.83,38,5,11.32
290,Talnakh,RU,2021-11-22 17:20:43,69.4865,88.3972,0.68,92,100,9.86
291,Bac Lieu,VN,2021-11-22 17:20:43,9.285,105.7244,78.57,88,99,11.23
292,Ancud,CL,2021-11-22 17:16:43,-41.8697,-73.8203,62.13,72,40,6.17
293,Togur,RU,2021-11-22 17:20:44,58.3631,82.8265,31.84,88,100,18.01
