City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2023,Gondanglegi,ID,76.89,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
2025,Tsabong,BW,86.23,clear sky,-26.0217,22.401,Springbok Motel
2029,Santo Antonio Do Sudoeste,BR,86.2,few clouds,-26.0736,-53.7253,Hotel Frontera
2035,Kochi,IN,76.98,overcast clouds,9.9399,76.2602,Hotel Abad
2039,Antsohihy,MG,79.02,light rain,-14.8796,47.9875,Hotel de Ville
2043,Santa Maria Da Vitoria,BR,85.48,heavy intensity rain,-13.3947,-44.1886,Pousada Rio Current
2044,Pontian Kecil,MY,79.12,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
2049,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
2050,Vazante,BR,82.8,overcast clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
2051,Hukuntsi,BW,88.0,overcast clouds,-24.0,21.75,Entabeni Hotel
2054,Santa Isabel Do Rio Negro,BR,78.49,moderate rain,-0.4139,-65.0192,Hotel GSA
2068,Nha Trang,VN,75.2,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
2080,Guamal,CO,85.69,broken clouds,9.1433,-74.2238,HOSTAL VILLA CASTA
2083,Micoud,LC,82.18,overcast clouds,13.8167,-60.9,Zamacà
2087,Sharjah,AE,78.91,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
2089,Candolim,IN,80.6,few clouds,15.5181,73.7626,Resort Terra Paraiso
2098,Ampere,BR,84.06,scattered clouds,-25.915,-53.4728,Hotel
2099,Santa Fe,AR,89.37,broken clouds,-31.6333,-60.7,Conquistador Hotel
2100,Kaduqli,SD,87.69,scattered clouds,11.0167,29.7167,فندق الله جابو
2103,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
2104,Candelaria,PH,75.97,overcast clouds,13.9311,121.4233,Casa de Provincia
2106,Gweta,BW,89.37,broken clouds,-20.1833,25.2333,Gweta Lodge
2114,Borba,BR,85.1,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
2119,Katakwi,UG,78.06,overcast clouds,1.8911,33.9661,Ebenezer Guest House
