City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Nikolskoye,RU,59.7035,30.7861,26.49,72,100,12.17,overcast clouds
158,Bridlington,GB,54.0831,-0.1919,41.18,81,100,38.05,light rain
159,Idenao,CM,4.2475,9.0047,81.09,82,80,7.74,light rain
160,Faribault,US,44.295,-93.2688,37.83,70,75,12.66,broken clouds
161,Yeniseysk,RU,58.4497,92.1703,14.76,94,100,7.99,light snow
162,Cabo San Lucas,MX,22.8909,-109.9124,73.35,76,100,6.64,overcast clouds
163,Uray,RU,60.1247,64.7758,28.56,86,81,14.29,broken clouds
164,Kjustendil,BG,42.2839,22.6911,48.04,87,99,7.0,overcast clouds
165,Cosala,MX,24.4125,-106.6908,63.32,90,100,3.33,overcast clouds
166,Gari,RU,59.4307,62.3497,29.01,84,99,13.69,overcast clouds
167,Cidreira,BR,-30.1811,-50.2056,73.09,81,52,13.04,broken clouds
168,Chachapoyas,PE,-6.2317,-77.869,64.8,74,68,3.51,light rain
169,Sehithwa,BW,-20.4667,22.7167,89.98,25,96,8.99,overcast clouds
170,Torbay,CA,47.6666,-52.7314,48.07,88,100,20.07,overcast clouds
171,Codrington,AU,-38.2667,141.9667,46.67,92,0,8.32,clear sky
172,Severo-Kurilsk,RU,50.6789,156.125,29.12,73,97,23.17,overcast clouds
173,Freeport,US,40.6576,-73.5832,41.18,45,20,18.41,few clouds
174,Mathbaria,BD,22.2876,89.9593,65.14,54,26,3.83,scattered clouds
175,Geraldton,AU,-28.7667,114.6,64.81,72,0,3.44,clear sky
176,Lethem,GY,3.3803,-59.7968,92.32,47,19,8.99,few clouds
177,Mahebourg,MU,-20.4081,57.7,78.42,70,35,7.61,scattered clouds
178,Cherskiy,RU,68.75,161.3,-27.54,93,8,4.05,clear sky
179,Touros,BR,-5.1989,-35.4608,88.7,60,64,12.68,broken clouds
180,Langarud,IR,37.197,50.1535,55.45,83,5,5.35,clear sky
181,Fairbanks,US,64.8378,-147.7164,-13.04,73,90,0.0,light snow
182,Lalin,ES,42.7167,-8.1167,46.72,77,62,10.89,broken clouds
183,Tupik,RU,54.4253,119.9327,8.31,96,100,4.07,overcast clouds
184,Samana,DO,19.2056,-69.3369,82.62,78,40,0.0,scattered clouds
185,Hita,JP,33.3167,130.9333,41.79,74,0,3.53,clear sky
186,Tommot,RU,58.9564,126.2925,8.04,87,100,11.36,overcast clouds
187,Kavaje,AL,41.1856,19.5569,59.16,72,85,16.89,overcast clouds
188,Abaete,BR,-19.16,-45.4458,78.66,71,80,10.27,broken clouds
189,Clyde River,CA,70.4692,-68.5914,-7.87,98,9,4.07,clear sky
190,Odienne,CI,9.51,-7.5692,94.55,21,89,5.73,overcast clouds
191,Yulara,AU,-25.2406,130.9889,67.84,42,0,5.75,clear sky
192,Mount Isa,AU,-20.7333,139.5,76.77,31,0,11.5,clear sky
193,Bandarbeyla,SO,9.4942,50.8122,79.77,84,84,17.29,broken clouds
194,Ust-Nera,RU,64.5667,143.2,-14.91,97,100,5.46,overcast clouds
195,Hambantota,LK,6.1241,81.1185,79.14,100,40,2.3,scattered clouds
196,Ahipara,NZ,-35.1667,173.1667,56.26,91,19,3.49,few clouds
197,Khani,GE,41.9563,42.9566,45.97,57,99,4.38,overcast clouds
198,Butaritari,KI,3.0707,172.7902,81.52,77,99,19.08,light rain
199,Bulgan,MN,48.8125,103.5347,16.27,92,100,2.48,overcast clouds
200,Khatanga,RU,71.9667,102.5,-3.28,94,100,16.71,overcast clouds
